iter	Passed	Remaining
0	108	3034413
1	216	3033910
2	317	2960089
3	411	2877281
4	502	2811039
5	592	2763574
6	675	2703129
7	757	2652105
8	839	2611628
9	921	2578306
10	1003	2553637
11	1083	2527760
12	1163	2505633
13	1246	2491293
14	1327	2477442
15	1412	2470695
16	1501	2471527
17	1589	2470468
18	1677	2470998
19	1764	2468980
20	1855	2472139
21	1938	2464714
22	2025	2463228
23	2106	2455250
24	2189	2449754
25	2277	2449887
26	2358	2443038
27	2439	2437034
28	2518	2429305
29	2604	2427976
30	2684	2422231
31	2766	2418044
32	2850	2415597
33	2936	2415674
34	3020	2413454
35	3101	2409021
36	3187	2408720
37	3268	2405116
38	3347	2400079
39	3429	2396929
40	3508	2392471
41	3583	2385728
42	3669	2385912
43	3752	2384260
44	3831	2380438
45	3918	2381558
46	4003	2380901
47	4085	2379031
48	4166	2376612
49	4246	2374003
50	4330	2373088
51	4414	2372583
52	4490	2367923
53	4568	2364540
54	4650	2362790
55	4726	2358736
56	4807	2356678
57	4889	2355787
58	4972	2354945
59	5052	2352560
60	5127	2348554
61	5210	2347999
62	5291	2346325
63	5372	2344898
64	5454	2343994
65	5532	2341709
66	5609	2338805
67	5690	2337620
68	5768	2335024
69	5847	2333013
70	5923	2329986
71	6007	2330326
72	6089	2329540
73	6177	2331140
74	6258	2330272
75	6344	2331234
76	6425	2330006
77	6504	2328299
78	6589	2328978
79	6675	2329739
80	6762	2330783
81	6856	2334360
82	6938	2333763
83	7027	2335336
84	7107	2334267
85	7191	2334363
86	7275	2334138
87	7357	2333645
88	7440	2333487
89	7523	2333125
90	7599	2330801
91	7679	2329628
92	7769	2331356
93	7853	2331629
94	7935	2330977
95	8016	2330140
96	8100	2330323
97	8179	2328764
98	8262	2328585
99	8342	2327455
100	8422	2326614
101	8501	2325211
102	8581	2324186
103	8661	2323261
104	8739	2321699
105	8820	2321218
106	8904	2321369
107	8983	2319983
108	9059	2318030
109	9137	2316761
110	9214	2315201
111	9298	2315390
112	9382	2315372
113	9468	2316159
114	9551	2316072
115	9629	2314823
116	9710	2314140
117	9788	2312995
118	9868	2312053
119	9946	2310831
120	10026	2310211
121	10106	2309322
122	10187	2308866
123	10268	2308441
124	10348	2307641
125	10424	2306127
126	10500	2304661
127	10579	2303585
128	10664	2304204
129	10742	2303132
130	10821	2302244
131	10898	2300964
132	10978	2300184
133	11062	2300554
134	11154	2302440
135	11241	2303117
136	11342	2306841
137	11428	2307412
138	11511	2307325
139	11600	2308461
140	11686	2308943
141	11781	2311283
142	11866	2311607
143	11945	2310789
144	12031	2311312
145	12112	2310786
146	12193	2310415
147	12280	2311010
148	12370	2312224
149	12449	2311385
150	12530	2311044
151	12618	2311797
152	12694	2310529
153	12773	2309633
154	12853	2309099
155	12937	2309127
156	13016	2308375
157	13094	2307480
158	13176	2307151
159	13256	2306696
160	13335	2305838
161	13411	2304657
162	13492	2304229
163	13569	2303174
164	13650	2302793
165	13728	2301963
166	13808	2301468
167	13890	2301119
168	13968	2300288
169	14048	2299786
170	14131	2299752
171	14207	2298672
172	14286	2297966
173	14366	2297457
174	14442	2296397
175	14522	2295819
176	14604	2295656
177	14684	2295289
178	14762	2294499
179	14838	2293414
180	14915	2292489
181	14996	2292167
182	15073	2291246
183	15157	2291364
184	15233	2290334
185	15310	2289566
186	15389	2288916
187	15469	2288427
188	15546	2287687
189	15626	2287257
190	15702	2286184
191	15781	2285688
192	15858	2284874
193	15935	2284067
194	16016	2283764
195	16106	2284760
196	16194	2285496
197	16284	2286507
198	16385	2289122
199	16478	2290505
200	16565	2291001
201	16673	2294519
202	16777	2297352
203	16881	2300175
204	16990	2303608
205	17110	2308521
206	17227	2313099
207	17336	2316465
208	17448	2320204
209	17551	2322584
210	17671	2327363
211	17803	2333644
212	17909	2336400
213	18022	2340104
214	18114	2340969
215	18222	2343905
216	18311	2344512
217	18403	2345358
218	18492	2345802
219	18575	2345580
